feature,coef
LotFrontage,0.01835836539928936
LotArea,0.35507784702472467
LotShape,-0.003406264986066184
LandSlope,0.0031602896227249707
OverallQual,0.28033454484917136
OverallCond,0.23621988649640668
MasVnrArea,0.009426277669225498
ExterQual,0.006591774305436635
ExterCond,-0.013724142859699895
BsmtQual,0.06043037229156499
BsmtCond,0.0
BsmtExposure,0.043527725395152546
BsmtFinType1,0.028612946035224445
BsmtFinSF1,0.032674820902833863
BsmtFinType2,-0.0
BsmtFinSF2,-0.0
BsmtUnfSF,0.0
TotalBsmtSF,0.2774185106002079
HeatingQC,0.04017042427424894
CentralAir,0.04395707512955114
Electrical,-0.0
1stFlrSF,0.39822269458413173
2ndFlrSF,0.2055479792111599
LowQualFinSF,0.020008409949328305
GrLivArea,0.2288799068535889
BsmtFullBath,-0.00551744291190374
BsmtHalfBath,-0.0024664345711214062
FullBath,-0.0
HalfBath,0.023414094157235034
BedroomAbvGr,-0.013607126664163197
KitchenAbvGr,-0.03990904559081648
KitchenQual,0.07638347753770812
TotRmsAbvGrd,0.025244914060716158
Functional,0.13133622420803864
Fireplaces,0.03092950929265386
FireplaceQu,0.013853829390187346
GarageFinish,0.007504373804103842
GarageCars,0.06662338536703276
GarageArea,0.09019914956667822
GarageQual,0.061648430776613354
GarageCond,0.020326383384358406
PavedDrive,0.016560928662178474
WoodDeckSF,0.06320206145060846
OpenPorchSF,0.04786655135445608
EnclosedPorch,-0.0
3SsnPorch,0.0
ScreenPorch,0.040661622889035576
PoolArea,0.0
PoolQC,0.0011635608073312601
Fence,-0.003434951942952741
MiscVal,-0.0
has_MasVnrArea,-0.0
has_BsmtFinSF1,-0.011709558289276258
has_BsmtFinSF2,-0.01354918188880982
has_2ndFlrSF,-0.0
has_LowQualFinSF,-0.0
has_WoodDeckSF,-0.030283899130155247
has_OpenPorchSF,-0.02389501346228794
has_EnclosedPorch,0.010360604749001301
has_3SsnPorch,0.014686019000667768
has_ScreenPorch,0.0
has_PoolArea,0.011584708849056907
has_MiscVal,-0.005755470267149107
has_TotalBsmtSF,-0.04738685652328451
has_GarageArea,-0.006395480111502216
AgebySale,-0.1627586096418276
GarageAge,-0.019037119489007364
RemodAge,-0.032740859480848546
TotalBath,0.08642009076538697
TotalLivArea,0.29584062105761194
TotalFlrSF,0.0
TotalPorchSF,0.01164184564035807
MSSubClass_120,-0.0
MSSubClass_160,-0.008070670121983207
MSSubClass_190,-0.007972222953541903
MSSubClass_20,0.005555119294521485
MSSubClass_30,-0.01650784558405565
MSSubClass_50,0.005258170911864798
MSSubClass_60,-0.0
MSSubClass_70,0.0049882363492340445
MSSubClass_75,0.0
MSSubClass_80,-0.0
MSSubClass_85,-0.0
MSSubClass_90,0.0
MSSubClass_other,0.0
MSZoning_C (all),-0.35361084223123973
MSZoning_FV,0.022971435856207607
MSZoning_RH,0.008047391598711547
MSZoning_RL,-0.0
MSZoning_RM,-0.03584922537328323
Street_Grvl,-0.017258724690718766
Street_Pave,0.0
Alley_Grvl,-0.01062285804275023
Alley_No alley access,0.0
Alley_Pave,0.016321322226196335
LandContour_Bnk,0.0032509401604636045
LandContour_HLS,0.0
LandContour_Low,-0.0
LandContour_Lvl,-0.0
LotConfig_Corner,0.0064210911606162714
LotConfig_CulDSac,0.028524540826170976
LotConfig_FR2,-0.004546072747050447
LotConfig_FR3,-0.0
LotConfig_Inside,-0.0
Neighborhood_Blmngtn,0.0
Neighborhood_BrDale,0.004060459214266589
Neighborhood_BrkSide,0.06177014785602993
Neighborhood_ClearCr,0.06592708214689577
Neighborhood_CollgCr,-0.0032252578002585678
Neighborhood_Crawfor,0.12244182160127239
