feature,coef,original_feat,feature_v2,original_feat_v2,feat_type
LotFrontage,0.0183583653992893,LotFrontage,LotFrontage,LotFrontage,continuous
LotArea,0.3550778470247246,LotArea,LotArea,LotArea,continuous
LotShape,-0.0034062649860661,LotShape,LotShape,LotShape,ordinal
LandSlope,0.0031602896227249,LandSlope,LandSlope,LandSlope,ordinal
OverallQual,0.2803345448491713,OverallQual,OverallQual,OverallQual,ordinal
OverallCond,0.2362198864964066,OverallCond,OverallCond,OverallCond,ordinal
MasVnrArea,0.0094262776692254,MasVnrArea,MasVnrArea,MasVnrArea,continuous
ExterQual,0.0065917743054366,ExterQual,ExterQual,ExterQual,ordinal
ExterCond,-0.0137241428596998,ExterCond,ExterCond,ExterCond,ordinal
BsmtQual,0.0604303722915649,BsmtQual,BsmtQual,BsmtQual,ordinal
BsmtCond,0.0,BsmtCond,BsmtCond,BsmtCond,ordinal
BsmtExposure,0.0435277253951525,BsmtExposure,BsmtExposure,BsmtExposure,ordinal
BsmtFinType1,0.0286129460352244,BsmtFinType1,BsmtFinType1,BsmtFinType1,ordinal
BsmtFinSF1,0.0326748209028338,BsmtFinSF1,BsmtFinSF1,BsmtFinSF1,continuous
BsmtFinType2,-0.0,BsmtFinType2,BsmtFinType2,BsmtFinType2,ordinal
BsmtFinSF2,-0.0,BsmtFinSF2,BsmtFinSF2,BsmtFinSF2,continuous
BsmtUnfSF,0.0,BsmtUnfSF,BsmtUnfSF,BsmtUnfSF,continuous
TotalBsmtSF,0.2774185106002079,TotalBsmtSF,TotalBsmtSF,TotalBsmtSF,continuous
HeatingQC,0.0401704242742489,HeatingQC,HeatingQC,HeatingQC,ordinal
CentralAir,0.0439570751295511,CentralAir,CentralAir,CentralAir,nominal
Electrical,-0.0,Electrical,Electrical,Electrical,ordinal
1stFlrSF,0.3982226945841317,1stFlrSF,1stFlrSF,1stFlrSF,continuous
2ndFlrSF,0.2055479792111599,2ndFlrSF,2ndFlrSF,2ndFlrSF,continuous
LowQualFinSF,0.0200084099493283,LowQualFinSF,LowQualFinSF,LowQualFinSF,continuous
GrLivArea,0.2288799068535889,GrLivArea,GrLivArea,GrLivArea,continuous
BsmtFullBath,-0.0055174429119037,BsmtFullBath,BsmtFullBath,BsmtFullBath,discrete
BsmtHalfBath,-0.0024664345711214,BsmtHalfBath,BsmtHalfBath,BsmtHalfBath,discrete
FullBath,-0.0,FullBath,FullBath,FullBath,discrete
HalfBath,0.023414094157235,HalfBath,HalfBath,HalfBath,discrete
BedroomAbvGr,-0.0136071266641631,BedroomAbvGr,BedroomAbvGr,BedroomAbvGr,discrete
KitchenAbvGr,-0.0399090455908164,KitchenAbvGr,KitchenAbvGr,KitchenAbvGr,discrete
KitchenQual,0.0763834775377081,KitchenQual,KitchenQual,KitchenQual,ordinal
TotRmsAbvGrd,0.0252449140607161,TotRmsAbvGrd,TotRmsAbvGrd,TotRmsAbvGrd,discrete
Functional,0.1313362242080386,Functional,Functional,Functional,ordinal
Fireplaces,0.0309295092926538,Fireplaces,Fireplaces,Fireplaces,discrete
FireplaceQu,0.0138538293901873,FireplaceQu,FireplaceQu,FireplaceQu,ordinal
GarageFinish,0.0075043738041038,GarageFinish,GarageFinish,GarageFinish,ordinal
GarageCars,0.0666233853670327,GarageCars,GarageCars,GarageCars,discrete
GarageArea,0.0901991495666782,GarageArea,GarageArea,GarageArea,continuous
GarageQual,0.0616484307766133,GarageQual,GarageQual,GarageQual,ordinal
GarageCond,0.0203263833843584,GarageCond,GarageCond,GarageCond,ordinal
PavedDrive,0.0165609286621784,PavedDrive,PavedDrive,PavedDrive,ordinal
WoodDeckSF,0.0632020614506084,WoodDeckSF,WoodDeckSF,WoodDeckSF,continuous
OpenPorchSF,0.047866551354456,OpenPorchSF,OpenPorchSF,OpenPorchSF,continuous
EnclosedPorch,-0.0,EnclosedPorch,EnclosedPorch,EnclosedPorch,continuous
3SsnPorch,0.0,3SsnPorch,3SsnPorch,3SsnPorch,continuous
ScreenPorch,0.0406616228890355,ScreenPorch,ScreenPorch,ScreenPorch,continuous
PoolArea,0.0,PoolArea,PoolArea,PoolArea,continuous
PoolQC,0.0011635608073312,PoolQC,PoolQC,PoolQC,ordinal
Fence,-0.0034349519429527,Fence,Fence,Fence,ordinal
MiscVal,-0.0,MiscVal,MiscVal,MiscVal,continuous
has_MasVnrArea,-0.0,has_MasVnrArea,has_MasVnr,has_MasVnr,nominal
has_BsmtFinSF1,-0.0117095582892762,has_BsmtFinSF1,has_BsmtFinSF1,has_BsmtFinSF1,nominal
has_BsmtFinSF2,-0.0135491818888098,has_BsmtFinSF2,has_BsmtFinSF2,has_BsmtFinSF2,nominal
has_2ndFlrSF,-0.0,has_2ndFlrSF,has_2ndFlr,has_2ndFlr,nominal
has_LowQualFinSF,-0.0,has_LowQualFinSF,has_LowQualFin,has_LowQualFin,nominal
has_WoodDeckSF,-0.0302838991301552,has_WoodDeckSF,has_WoodDeck,has_WoodDeck,nominal
has_OpenPorchSF,-0.0238950134622879,has_OpenPorchSF,has_OpenPorch,has_OpenPorch,nominal
has_EnclosedPorch,0.0103606047490013,has_EnclosedPorch,has_EnclosedPorch,has_EnclosedPorch,nominal
has_3SsnPorch,0.0146860190006677,has_3SsnPorch,has_3SsnPorch,has_3SsnPorch,nominal
has_ScreenPorch,0.0,has_ScreenPorch,has_ScreenPorch,has_ScreenPorch,nominal
has_PoolArea,0.0115847088490569,has_PoolArea,has_Pool,has_Pool,nominal
has_MiscVal,-0.0057554702671491,has_MiscVal,has_MiscVal,has_MiscVal,nominal
has_TotalBsmtSF,-0.0473868565232845,has_TotalBsmtSF,has_Bsmt,has_Bsmt,nominal
has_GarageArea,-0.0063954801115022,has_GarageArea,has_Garage,has_Garage,nominal
AgebySale,-0.1627586096418276,AgebySale,AgebySale,AgebySale,continuous
GarageAge,-0.0190371194890073,GarageAge,GarageAge,GarageAge,continuous
RemodAge,-0.0327408594808485,RemodAge,RemodAge,RemodAge,continuous
TotalBath,0.0864200907653869,TotalBath,TotalBath,TotalBath,discrete
TotalLivArea,0.2958406210576119,TotalLivArea,TotalLivArea,TotalLivArea,continuous
TotalFlrSF,0.0,TotalFlrSF,TotalFlrSF,TotalFlrSF,continuous
TotalPorchSF,0.011641845640358,TotalPorchSF,TotalPorchSF,TotalPorchSF,continuous
MSSubClass_120,-0.0,MSSubClass,MSSubClass_120,MSSubClass,nominal
MSSubClass_160,-0.0080706701219832,MSSubClass,MSSubClass_160,MSSubClass,nominal
MSSubClass_190,-0.0079722229535419,MSSubClass,MSSubClass_190,MSSubClass,nominal
MSSubClass_20,0.0055551192945214,MSSubClass,MSSubClass_20,MSSubClass,nominal
MSSubClass_30,-0.0165078455840556,MSSubClass,MSSubClass_30,MSSubClass,nominal
MSSubClass_50,0.0052581709118647,MSSubClass,MSSubClass_50,MSSubClass,nominal
MSSubClass_60,-0.0,MSSubClass,MSSubClass_60,MSSubClass,nominal
MSSubClass_70,0.004988236349234,MSSubClass,MSSubClass_70,MSSubClass,nominal
MSSubClass_75,0.0,MSSubClass,MSSubClass_75,MSSubClass,nominal
MSSubClass_80,-0.0,MSSubClass,MSSubClass_80,MSSubClass,nominal
MSSubClass_85,-0.0,MSSubClass,MSSubClass_85,MSSubClass,nominal
MSSubClass_90,0.0,MSSubClass,MSSubClass_90,MSSubClass,nominal
MSSubClass_other,0.0,MSSubClass,MSSubClass_other,MSSubClass,nominal
MSZoning_C (all),-0.3536108422312397,MSZoning,MSZoning_C (all),MSZoning,nominal
MSZoning_FV,0.0229714358562076,MSZoning,MSZoning_FV,MSZoning,nominal
MSZoning_RH,0.0080473915987115,MSZoning,MSZoning_RH,MSZoning,nominal
MSZoning_RL,-0.0,MSZoning,MSZoning_RL,MSZoning,nominal
MSZoning_RM,-0.0358492253732832,MSZoning,MSZoning_RM,MSZoning,nominal
Street_Grvl,-0.0172587246907187,Street,Street_Grvl,Street,nominal
Street_Pave,0.0,Street,Street_Pave,Street,nominal
Alley_Grvl,-0.0106228580427502,Alley,Alley_Grvl,Alley,nominal
Alley_No alley access,0.0,Alley,Alley_No alley access,Alley,nominal
Alley_Pave,0.0163213222261963,Alley,Alley_Pave,Alley,nominal
LandContour_Bnk,0.0032509401604636,LandContour,LandContour_Bnk,LandContour,nominal
LandContour_HLS,0.0,LandContour,LandContour_HLS,LandContour,nominal
LandContour_Low,-0.0,LandContour,LandContour_Low,LandContour,nominal
LandContour_Lvl,-0.0,LandContour,LandContour_Lvl,LandContour,nominal
LotConfig_Corner,0.0064210911606162,LotConfig,LotConfig_Corner,LotConfig,nominal
LotConfig_CulDSac,0.0285245408261709,LotConfig,LotConfig_CulDSac,LotConfig,nominal
LotConfig_FR2,-0.0045460727470504,LotConfig,LotConfig_FR2,LotConfig,nominal
LotConfig_FR3,-0.0,LotConfig,LotConfig_FR3,LotConfig,nominal
LotConfig_Inside,-0.0,LotConfig,LotConfig_Inside,LotConfig,nominal
Neighborhood_Blmngtn,0.0,Neighborhood,Neighborhood_Blmngtn,Neighborhood,nominal
Neighborhood_BrDale,0.0040604592142665,Neighborhood,Neighborhood_BrDale,Neighborhood,nominal
Neighborhood_BrkSide,0.0617701478560299,Neighborhood,Neighborhood_BrkSide,Neighborhood,nominal
Neighborhood_ClearCr,0.0659270821468957,Neighborhood,Neighborhood_ClearCr,Neighborhood,nominal
Neighborhood_CollgCr,-0.0032252578002585,Neighborhood,Neighborhood_CollgCr,Neighborhood,nominal
Neighborhood_Crawfor,0.1224418216012723,Neighborhood,Neighborhood_Crawfor,Neighborhood,nominal
Neighborhood_Edwards,-0.0342831692131676,Neighborhood,Neighborhood_Edwards,Neighborhood,nominal
Neighborhood_Gilbert,-0.0083351060464513,Neighborhood,Neighborhood_Gilbert,Neighborhood,nominal
Neighborhood_IDOTRR,-0.0,Neighborhood,Neighborhood_IDOTRR,Neighborhood,nominal
Neighborhood_MeadowV,-0.0454169798024317,Neighborhood,Neighborhood_MeadowV,Neighborhood,nominal
Neighborhood_Mitchel,-0.0268804892732743,Neighborhood,Neighborhood_Mitchel,Neighborhood,nominal
Neighborhood_NAmes,-0.0101219339556403,Neighborhood,Neighborhood_NAmes,Neighborhood,nominal
Neighborhood_NWAmes,-0.0311884388984499,Neighborhood,Neighborhood_NWAmes,Neighborhood,nominal
Neighborhood_NoRidge,0.0578130374787005,Neighborhood,Neighborhood_NoRidge,Neighborhood,nominal
Neighborhood_NridgHt,0.0572336656488177,Neighborhood,Neighborhood_NridgHt,Neighborhood,nominal
Neighborhood_OldTown,-2.568747468485228e-06,Neighborhood,Neighborhood_OldTown,Neighborhood,nominal
Neighborhood_SWISU,0.0,Neighborhood,Neighborhood_SWISU,Neighborhood,nominal
Neighborhood_Sawyer,-0.0047860807566954,Neighborhood,Neighborhood_Sawyer,Neighborhood,nominal
Neighborhood_SawyerW,-0.0056252246601233,Neighborhood,Neighborhood_SawyerW,Neighborhood,nominal
Neighborhood_Somerst,0.0300268938744153,Neighborhood,Neighborhood_Somerst,Neighborhood,nominal
Neighborhood_StoneBr,0.0923016449313411,Neighborhood,Neighborhood_StoneBr,Neighborhood,nominal
Neighborhood_Timber,-0.0,Neighborhood,Neighborhood_Timber,Neighborhood,nominal
Neighborhood_other,0.0197774903893071,Neighborhood,Neighborhood_other,Neighborhood,nominal
Condition1_Artery,-0.0292509035214428,Condition1,Condition1_Artery,Condition1,nominal
Condition1_Feedr,-0.0090418975822016,Condition1,Condition1_Feedr,Condition1,nominal
Condition1_Norm,0.034731831212027,Condition1,Condition1_Norm,Condition1,nominal
Condition1_PosN,0.0126328383383511,Condition1,Condition1_PosN,Condition1,nominal
Condition1_RRAn,0.0002865519516375,Condition1,Condition1_RRAn,Condition1,nominal
